fips,state_fips,county_fips,county_full_name,county_name,state_name,median_household_income
01001,01,001,"Autauga County, Alabama",autauga county,alabama,68315
01003,01,003,"Baldwin County, Alabama",baldwin county,alabama,71039
01005,01,005,"Barbour County, Alabama",barbour county,alabama,39712
01007,01,007,"Bibb County, Alabama",bibb county,alabama,50669
01009,01,009,"Blount County, Alabama",blount county,alabama,57440
01011,01,011,"Bullock County, Alabama",bullock county,alabama,36136
01013,01,013,"Butler County, Alabama",butler county,alabama,44429
01015,01,015,"Calhoun County, Alabama",calhoun county,alabama,54339
01017,01,017,"Chambers County, Alabama",chambers county,alabama,48805
01019,01,019,"Cherokee County, Alabama",cherokee county,alabama,46621
01021,01,021,"Chilton County, Alabama",chilton county,alabama,62471
01023,01,023,"Choctaw County, Alabama",choctaw county,alabama,43299
01025,01,025,"Clarke County, Alabama",clarke county,alabama,47549
01027,01,027,"Clay County, Alabama",clay county,alabama,48074
01029,01,029,"Cleburne County, Alabama",cleburne county,alabama,51553
01031,01,031,"Coffee County, Alabama",coffee county,alabama,62199
01033,01,033,"Colbert County, Alabama",colbert county,alabama,56149
01035,01,035,"Conecuh County, Alabama",conecuh county,alabama,39888
01037,01,037,"Coosa County, Alabama",coosa county,alabama,52279
01039,01,039,"Covington County, Alabama",covington county,alabama,48772
01041,01,041,"Crenshaw County, Alabama",crenshaw county,alabama,48557
01043,01,043,"Cullman County, Alabama",cullman county,alabama,58119
01045,01,045,"Dale County, Alabama",dale county,alabama,52813
01047,01,047,"Dallas County, Alabama",dallas county,alabama,37180
01049,01,049,"DeKalb County, Alabama",dekalb county,alabama,47920
01051,01,051,"Elmore County, Alabama",elmore county,alabama,73258
01053,01,053,"Escambia County, Alabama",escambia county,alabama,41153
01055,01,055,"Etowah County, Alabama",etowah county,alabama,52177
01057,01,057,"Fayette County, Alabama",fayette county,alabama,45650
01059,01,059,"Franklin County, Alabama",franklin county,alabama,47359
01061,01,061,"Geneva County, Alabama",geneva county,alabama,47608
01063,01,063,"Greene County, Alabama",greene county,alabama,32796
01065,01,065,"Hale County, Alabama",hale county,alabama,35851
01067,01,067,"Henry County, Alabama",henry county,alabama,58395
01069,01,069,"Houston County, Alabama",houston county,alabama,55064
01071,01,071,"Jackson County, Alabama",jackson county,alabama,46748
01073,01,073,"Jefferson County, Alabama",jefferson county,alabama,63595
