fips,county_name,state_fips
01001,autauga county,01
01003,baldwin county,01
01005,barbour county,01
01007,bibb county,01
01009,blount county,01
01011,bullock county,01
01013,butler county,01
01015,calhoun county,01
01017,chambers county,01
01019,cherokee county,01
01021,chilton county,01
01023,choctaw county,01
01025,clarke county,01
01027,clay county,01
01029,cleburne county,01
01031,coffee county,01
01033,colbert county,01
01035,conecuh county,01
01037,coosa county,01
01039,covington county,01
01041,crenshaw county,01
01043,cullman county,01
01045,dale county,01
01047,dallas county,01
01049,dekalb county,01
01051,elmore county,01
01053,escambia county,01
01055,etowah county,01
01057,fayette county,01
01059,franklin county,01
01061,geneva county,01
01063,greene county,01
01065,hale county,01
01067,henry county,01
01069,houston county,01
01071,jackson county,01
01073,jefferson county,01
01075,lamar county,01
01077,lauderdale county,01
01079,lawrence county,01
01081,lee county,01
01083,limestone county,01
01085,lowndes county,01
01087,macon county,01
01089,madison county,01
01091,marengo county,01
01093,marion county,01
01095,marshall county,01
01097,mobile county,01
01099,monroe county,01
01101,montgomery county,01
01103,morgan county,01
01105,perry county,01
01107,pickens county,01
01109,pike county,01
01111,randolph county,01
01113,russell county,01
01115,st. clair county,01
01117,shelby county,01
01119,sumter county,01
01121,talladega county,01
01123,tallapoosa county,01
01125,tuscaloosa county,01
01127,walker county,01
01129,washington county,01
01131,wilcox county,01
01133,winston county,01
02013,aleutians east borough,02
02016,aleutians west census area,02
02020,anchorage municipality,02
02050,bethel census area,02
02060,bristol bay borough,02
02063,chugach census area,02
02066,copper river census area,02
02068,denali borough,02
02070,dillingham census area,02
02090,fairbanks north star borough,02
02100,haines borough,02
02105,hoonah-angoon census area,02
02110,juneau city and borough,02
02122,kenai peninsula borough,02
02130,ketchikan gateway borough,02
02150,kodiak island borough,02
02158,kusilvak census area,02
02164,lake and peninsula borough,02
02170,matanuska-susitna borough,02
02180,nome census area,02
02185,north slope borough,02
02188,northwest arctic borough,02
02195,petersburg borough,02
02198,prince of wales-hyder census area,02
02220,sitka city and borough,02
02230,skagway municipality,02
02240,southeast fairbanks census area,02
02275,wrangell city and borough,02
02282,yakutat city and borough,02
02290,yukon-koyukuk census area,02
04001,apache county,04
04003,cochise county,04
04005,coconino county,04
04007,gila county,04
04009,graham county,04
04011,greenlee county,04
04012,la paz county,04
04013,maricopa county,04
04015,mohave county,04
04017,navajo county,04
04019,pima county,04
04021,pinal county,04
04023,santa cruz county,04
04025,yavapai county,04
04027,yuma county,04
05001,arkansas county,05
05003,ashley county,05
05005,baxter county,05
05007,benton county,05
05009,boone county,05
05011,bradley county,05
05013,calhoun county,05
05015,carroll county,05
05017,chicot county,05
05019,clark county,05
05021,clay county,05
05023,cleburne county,05
05025,cleveland county,05
05027,columbia county,05
05029,conway county,05
05031,craighead county,05
05033,crawford county,05
05035,crittenden county,05
05037,cross county,05
05039,dallas county,05
05041,desha county,05
05043,drew county,05
05045,faulkner county,05
05047,franklin county,05
05049,fulton county,05
05051,garland county,05
05053,grant county,05
05055,greene county,05
05057,hempstead county,05
05059,hot spring county,05
05061,howard county,05
05063,independence county,05
05065,izard county,05
05067,jackson county,05
05069,jefferson county,05
05071,johnson county,05
05073,lafayette county,05
05075,lawrence county,05
05077,lee county,05
05079,lincoln county,05
05081,little river county,05
05083,logan county,05
05085,lonoke county,05
05087,madison county,05
05089,marion county,05
05091,miller county,05
05093,mississippi county,05
05095,monroe county,05
05097,montgomery county,05
05099,nevada county,05
05101,newton county,05
05103,ouachita county,05
05105,perry county,05
05107,phillips county,05
05109,pike county,05
05111,poinsett county,05
05113,polk county,05
05115,pope county,05
05117,prairie county,05
05119,pulaski county,05
05121,randolph county,05
05123,st. francis county,05
05125,saline county,05
05127,scott county,05
05129,searcy county,05
05131,sebastian county,05
05133,sevier county,05
05135,sharp county,05
05137,stone county,05
05139,union county,05
05141,van buren county,05
05143,washington county,05
05145,white county,05
05147,woodruff county,05
05149,yell county,05
06001,alameda county,06
06003,alpine county,06
06005,amador county,06
06007,butte county,06
06009,calaveras county,06
06011,colusa county,06
06013,contra costa county,06
06015,del norte county,06
06017,el dorado county,06
06019,fresno county,06
06021,glenn county,06
06023,humboldt county,06
06025,imperial county,06
06027,inyo county,06
06029,kern county,06
06031,kings county,06
06033,lake county,06
06035,lassen county,06
06037,los angeles county,06
06039,madera county,06
06041,marin county,06
06043,mariposa county,06
06045,mendocino county,06
06047,merced county,06
06049,modoc county,06
06051,mono county,06
06053,monterey county,06
06055,napa county,06
06057,nevada county,06
06059,orange county,06
06061,placer county,06
06063,plumas county,06
06065,riverside county,06
06067,sacramento county,06
06069,san benito county,06
06071,san bernardino county,06
06073,san diego county,06
06075,san francisco county,06
06077,san joaquin county,06
06079,san luis obispo county,06
06081,san mateo county,06
06083,santa barbara county,06
06085,santa clara county,06
06087,santa cruz county,06
06089,shasta county,06
06091,sierra county,06
06093,siskiyou county,06
06095,solano county,06
06097,sonoma county,06
06099,stanislaus county,06
06101,sutter county,06
06103,tehama county,06
06105,trinity county,06
06107,tulare county,06
06109,tuolumne county,06
06111,ventura county,06
06113,yolo county,06
06115,yuba county,06
08001,adams county,08
08003,alamosa county,08
08005,arapahoe county,08
08007,archuleta county,08
08009,baca county,08
08011,bent county,08
08013,boulder county,08
08014,broomfield county,08
08015,chaffee county,08
08017,cheyenne county,08
08019,clear creek county,08
08021,conejos county,08
08023,costilla county,08
08025,crowley county,08
08027,custer county,08
08029,delta county,08
08031,denver county,08
08033,dolores county,08
08035,douglas county,08
08037,eagle county,08
08039,elbert county,08
08041,el paso county,08
08043,fremont county,08
08045,garfield county,08
08047,gilpin county,08
08049,grand county,08
08051,gunnison county,08
08053,hinsdale county,08
08055,huerfano county,08
08057,jackson county,08
