hud_area_name,fips,fmr_1br,fmr_2br,fmr_3br
"Montgomery, AL MSA",01001,870,1016,1304
"Daphne-Fairhope-Foley, AL MSA",01003,1200,1345,1692
"Barbour County, AL",01005,693,776,1017
"Birmingham-Hoover, AL HUD Metro FMR Area",01007,1155,1266,1583
"Birmingham-Hoover, AL HUD Metro FMR Area",01009,1155,1266,1583
"Bullock County, AL",01011,708,776,930
"Butler County, AL",01013,638,837,1004
"Anniston-Oxford, AL MSA",01015,757,962,1300
"Chambers County, AL",01017,770,1002,1265
"Cherokee County, AL",01019,682,844,1012
"Chilton County, AL HUD Metro FMR Area",01021,739,970,1274
"Choctaw County, AL",01023,616,778,1024
"Clarke County, AL",01025,603,791,1034
"Clay County, AL",01027,591,776,1024
"Cleburne County, AL",01029,687,867,1082
"Coffee County, AL",01031,711,933,1298
"Florence-Muscle Shoals, AL MSA",01033,775,1000,1242
"Conecuh County, AL",01035,615,776,1079
"Coosa County, AL",01037,615,776,1079
"Covington County, AL",01039,591,776,999
"Crenshaw County, AL",01041,591,776,930
"Cullman County, AL",01043,670,879,1137
"Dale County, AL",01045,690,776,1079
"Dallas County, AL",01047,637,836,1103
"DeKalb County, AL",01049,591,776,992
"Montgomery, AL MSA",01051,870,1016,1304
"Escambia County, AL",01053,675,776,972
"Gadsden, AL MSA",01055,792,927,1124
"Fayette County, AL",01057,671,776,1079
"Franklin County, AL",01059,704,776,976
"Dothan, AL HUD Metro FMR Area",01061,762,950,1288
"Greene County, AL HUD Metro FMR Area",01063,869,1140,1367
"Tuscaloosa, AL HUD Metro FMR Area",01065,972,1169,1490
"Henry County, AL HUD Metro FMR Area",01067,669,878,1078
"Dothan, AL HUD Metro FMR Area",01069,762,950,1288
"Jackson County, AL",01071,643,776,1004
"Birmingham-Hoover, AL HUD Metro FMR Area",01073,1155,1266,1583
"Lamar County, AL",01075,636,776,1024
"Florence-Muscle Shoals, AL MSA",01077,775,1000,1242
"Decatur, AL MSA",01079,776,961,1262
"Auburn-Opelika, AL HUD Metro FMR Area",01081,1077,1181,1494
"Huntsville, AL MSA",01083,1136,1310,1690
"Montgomery, AL MSA",01085,870,1016,1304
"Macon County, AL HUD Metro FMR Area",01087,758,995,1222
"Huntsville, AL MSA",01089,1136,1310,1690
"Marengo County, AL",01091,693,783,1018
"Marion County, AL",01093,591,776,1039
"Marshall County, AL",01095,591,776,1069
"Mobile, AL MSA",01097,919,1083,1414
"Monroe County, AL",01099,619,776,1079
"Montgomery, AL MSA",01101,870,1016,1304
"Decatur, AL MSA",01103,776,961,1262
"Perry County, AL",01105,636,803,963
"Pickens County, AL HUD Metro FMR Area",01107,591,776,994
"Pike County, AL",01109,695,912,1093
"Randolph County, AL",01111,634,778,980
"Columbus, GA-AL HUD Metro FMR Area",01113,939,1088,1445
"Birmingham-Hoover, AL HUD Metro FMR Area",01115,1155,1266,1583
"Birmingham-Hoover, AL HUD Metro FMR Area",01117,1155,1266,1583
"Sumter County, AL",01119,642,827,1107
"Talladega County, AL",01121,682,814,1107
"Tallapoosa County, AL",01123,663,857,1030
"Tuscaloosa, AL HUD Metro FMR Area",01125,972,1169,1490
"Walker County, AL HUD Metro FMR Area",01127,724,886,1232
"Washington County, AL",01129,818,983,1292
"Wilcox County, AL",01131,656,843,1079
"Winston County, AL",01133,631,776,1070
"Aleutians East Borough, AK",02013,1263,1385,1661
"Aleutians West Census Area, AK",02016,1670,2191,2652
"Anchorage, AK HUD Metro FMR Area",02020,1243,1631,2268
"Bethel Census Area, AK",02050,1719,1938,2324
"Bristol Bay Borough, AK",02060,1134,1243,1729
"Chugach Census Area, AK",02063,1374,1506,2094
"Copper River Census Area, AK",02066,930,1130,1572
"Denali Borough, AK",02068,935,1187,1651
"Dillingham Census Area, AK",02070,1138,1247,1734
"Fairbanks-College, AK MSA",02090,1277,1676,2331
"Haines Borough, AK",02100,1033,1321,1771
"Hoonah-Angoon Census Area, AK",02105,1113,1460,1751
"Juneau City and Borough, AK",02110,1340,1758,2368
"Kenai Peninsula Borough, AK",02122,1000,1312,1825
"Ketchikan Gateway Borough, AK",02130,1238,1625,2260
"Kodiak Island Borough, AK",02150,1581,2075,2488
Kusilvak Census Area,02158,767,973,1353
"Lake and Peninsula Borough, AK",02164,894,1030,1391
"Matanuska-Susitna Borough, AK HUD Metro FMR Area",02170,1049,1376,1914
"Nome Census Area, AK",02180,1334,1533,2132
"North Slope Borough, AK",02185,1239,1625,1958
"Northwest Arctic Borough, AK",02188,1471,1930,2547
Petersburg Borough,02195,1211,1463,1754
"Prince of Wales-Hyder Census Area, AK",02198,1030,1153,1464
"Sitka City and Borough, AK",02220,1350,1566,2178
"Skagway Municipality, AK",02230,1253,1644,2245
"Southeast Fairbanks Census Area, AK",02240,1198,1313,1826
"Wrangell City and Borough, AK",02275,928,1217,1682
"Yakutat City and Borough, AK",02282,1094,1388,1753
"Yukon-Koyukuk Census Area, AK",02290,1019,1126,1566
"Apache County, AZ",04001,903,1175,1599
"Sierra Vista-Douglas, AZ MSA",04003,1111,1257,1748
"Flagstaff, AZ MSA",04005,1727,1921,2343
"Gila County, AZ",04007,1127,1479,1871
"Graham County, AZ",04009,991,1244,1669
"Greenlee County, AZ",04011,970,1158,1388
"La Paz County, AZ",04012,879,1153,1604
"Phoenix-Mesa-Chandler, AZ MSA",04013,1583,1839,2452
"Lake Havasu City-Kingman, AZ MSA",04015,1060,1365,1897
"Navajo County, AZ",04017,1026,1309,1622
