zip,city,metro,median_home_value,fips
77494,Katy,"Houston-The Woodlands-Sugar Land, TX",480543.63357083686,48157
8701,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",561559.0285968125,34029
77449,Katy,"Houston-The Woodlands-Sugar Land, TX",267417.8897365807,48201
11368,New York,"New York-Newark-Jersey City, NY-NJ-PA",546584.297355114,36081
77084,Houston,"Houston-The Woodlands-Sugar Land, TX",263066.0975943646,48201
79936,El Paso,"El Paso, TX",215962.54495245413,48141
11385,New York,"New York-Newark-Jersey City, NY-NJ-PA",856215.490922425,36081
78660,Pflugerville,"Austin-Round Rock-Georgetown, TX",370590.91064396006,48453
11208,New York,"New York-Newark-Jersey City, NY-NJ-PA",721653.973975587,36047
90011,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",593079.6022853797,06037
77433,Cypress,"Houston-The Woodlands-Sugar Land, TX",421038.9773467583,48201
60629,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",254067.06120941657,17031
90650,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",747911.5499377759,06037
91331,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",733778.2782418737,06037
37013,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",354364.19177520537,47037
11236,New York,"New York-Newark-Jersey City, NY-NJ-PA",680664.8570616174,36047
10467,New York,"New York-Newark-Jersey City, NY-NJ-PA",420108.546600029,36005
11373,New York,"New York-Newark-Jersey City, NY-NJ-PA",514983.6702618604,36081
11226,New York,"New York-Newark-Jersey City, NY-NJ-PA",778931.2767880565,36047
11207,New York,"New York-Newark-Jersey City, NY-NJ-PA",633337.362929176,36047
30044,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",355921.05561805546,13135
90044,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",638480.4615790811,06037
92336,Fontana,"Riverside-San Bernardino-Ontario, CA",693067.5282894266,06071
94565,Pittsburg,"San Francisco-Oakland-Berkeley, CA",551153.1901162647,06013
77573,League City,"Houston-The Woodlands-Sugar Land, TX",373833.8602149981,48167
92335,Fontana,"Riverside-San Bernardino-Ontario, CA",553049.2847965391,06071
90201,Bell,"Los Angeles-Long Beach-Anaheim, CA",674938.6376118223,06037
90250,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",860834.8388719065,06037
10025,New York,"New York-Newark-Jersey City, NY-NJ-PA",1089534.446136926,36061
75052,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",317560.85559712735,48113
90805,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",695445.3143671491,06037
11214,New York,"New York-Newark-Jersey City, NY-NJ-PA",754863.1062488452,36047
60618,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",524748.2838618102,17031
93307,Bakersfield,"Bakersfield, CA",313457.0216590632,06029
90280,South Gate,"Los Angeles-Long Beach-Anaheim, CA",683319.023672576,06037
11234,New York,"New York-Newark-Jersey City, NY-NJ-PA",764163.3221254152,36047
91342,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",790926.5829064742,06037
92683,Westminster,"Los Angeles-Long Beach-Anaheim, CA",1057331.0779506715,06059
10314,New York,"New York-Newark-Jersey City, NY-NJ-PA",692097.6336232079,36085
11220,New York,"New York-Newark-Jersey City, NY-NJ-PA",927044.2812553538,36047
60639,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",307544.0817306515,17031
78245,San Antonio,"San Antonio-New Braunfels, TX",255688.54868692684,48029
11219,New York,"New York-Newark-Jersey City, NY-NJ-PA",1194847.9795079494,36047
92503,Riverside,"Riverside-San Bernardino-Ontario, CA",627171.5690082425,06065
78521,Brownsville,"Brownsville-Harlingen, TX",168945.7437565463,48061
11206,New York,"New York-Newark-Jersey City, NY-NJ-PA",1023479.6271478446,36047
11221,New York,"New York-Newark-Jersey City, NY-NJ-PA",1057681.4750920525,36047
10456,New York,"New York-Newark-Jersey City, NY-NJ-PA",461531.28996963706,36005
92345,Hesperia,"Riverside-San Bernardino-Ontario, CA",437652.4727724576,06071
77479,Sugar Land,"Houston-The Woodlands-Sugar Land, TX",533410.6428990881,48157
91911,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",748214.1899909684,06073
30043,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",402108.3246183072,13135
11223,New York,"New York-Newark-Jersey City, NY-NJ-PA",1053683.696794947,36047
78542,Edinburg,"McAllen-Edinburg-Mission, TX",198941.9831800755,48215
78613,Cedar Park,"Austin-Round Rock-Georgetown, TX",453802.7136085752,48491
11230,New York,"New York-Newark-Jersey City, NY-NJ-PA",902575.8826147416,36047
60647,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",521618.64331524255,17031
93033,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",690739.1632644812,06111
95076,Watsonville,"Santa Cruz-Watsonville, CA",807347.875122506,06087
92154,San Diego,"San Diego-Chula Vista-Carlsbad, CA",723462.6039451283,06073
77429,Cypress,"Houston-The Woodlands-Sugar Land, TX",373013.29324786854,48201
10458,New York,"New York-Newark-Jersey City, NY-NJ-PA",432836.83976960304,36005
92376,Rialto,"Riverside-San Bernardino-Ontario, CA",555678.7159315372,06071
60804,Cicero,"Chicago-Naperville-Elgin, IL-IN-WI",254285.77551393292,17031
11377,New York,"New York-Newark-Jersey City, NY-NJ-PA",550188.0936607897,36081
79938,El Paso,"El Paso, TX",248871.6282347341,48141
92804,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",912874.497857628,06059
91710,Chino,"Riverside-San Bernardino-Ontario, CA",753585.3220574876,06071
93722,Fresno,"Fresno, CA",393305.6912763144,06019
94112,San Francisco,"San Francisco-Oakland-Berkeley, CA",1047261.3239449027,06075
99301,Pasco,"Kennewick-Richland, WA",411200.2304116737,53021
11235,New York,"New York-Newark-Jersey City, NY-NJ-PA",591750.6907719913,36047
60632,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",264782.0946806229,17031
77584,Pearland,"Houston-The Woodlands-Sugar Land, TX",376909.0145070357,48039
11229,New York,"New York-Newark-Jersey City, NY-NJ-PA",756617.3475069841,36047
95823,Sacramento,"Sacramento-Roseville-Folsom, CA",417036.45487413375,06067
78130,New Braunfels,"San Antonio-New Braunfels, TX",303197.76127168623,48091
60617,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",167194.9993460787,17031
22193,Woodbridge,"Washington-Arlington-Alexandria, DC-VA-MD-WV",498395.79409821454,51153
11233,New York,"New York-Newark-Jersey City, NY-NJ-PA",1005191.434961575,36047
75217,Dallas,"Dallas-Fort Worth-Arlington, TX",190539.3761966949,48113
10453,New York,"New York-Newark-Jersey City, NY-NJ-PA",591931.3275367707,36005
27587,Wake Forest,"Raleigh-Cary, NC",504569.60077700095,37183
73099,Yukon,"Oklahoma City, OK",269441.1702560924,40017
77379,Spring,"Houston-The Woodlands-Sugar Land, TX",356943.7427225463,48201
96706,Ewa Beach,"Urban Honolulu, HI",813310.2891974192,15003
11204,New York,"New York-Newark-Jersey City, NY-NJ-PA",1194584.8858478393,36047
37042,Clarksville,"Clarksville, TN-KY",289166.8621634491,47125
85142,Queen Creek,"Phoenix-Mesa-Chandler, AZ",578456.0636752738,04013
30024,Suwanee,"Atlanta-Sandy Springs-Alpharetta, GA",603171.2385736449,13135
10468,New York,"New York-Newark-Jersey City, NY-NJ-PA",266119.01003090903,36005
79928,Horizon City,"El Paso, TX",257019.0208911048,48141
95035,Milpitas,"San Jose-Sunnyvale-Santa Clara, CA",1437320.9219078931,06085
91744,La Puente,"Los Angeles-Long Beach-Anaheim, CA",726736.7855947061,06037
60608,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",339264.36701820494,17031
11355,New York,"New York-Newark-Jersey City, NY-NJ-PA",586885.9533073736,36081
92509,Jurupa Valley,"Riverside-San Bernardino-Ontario, CA",624841.2405023979,06065
78666,San Marcos,"Austin-Round Rock-Georgetown, TX",311312.0762853388,48209
11203,New York,"New York-Newark-Jersey City, NY-NJ-PA",713913.8870269204,36047
93257,Porterville,"Visalia, CA",319487.4673565957,06107
93550,Palmdale,"Los Angeles-Long Beach-Anaheim, CA",446194.12122620153,06037
60625,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",385252.0654640029,17031
10457,New York,"New York-Newark-Jersey City, NY-NJ-PA",516855.2485138699,36005
66062,Olathe,"Kansas City, MO-KS",424508.88490949274,20091
92592,Temecula,"Riverside-San Bernardino-Ontario, CA",757299.2353088469,06065
60623,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",205273.57031639144,17031
95630,Folsom,"Sacramento-Roseville-Folsom, CA",744352.5717969378,06067
10452,New York,"New York-Newark-Jersey City, NY-NJ-PA",335787.4700054267,36005
28269,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",354255.6541578224,37119
92880,Eastvale,"Riverside-San Bernardino-Ontario, CA",937113.8527619406,06065
94544,Hayward,"San Francisco-Oakland-Berkeley, CA",816834.0287103485,06001
90706,Bellflower,"Los Angeles-Long Beach-Anaheim, CA",787177.1016449975,06037
78577,Pharr,"McAllen-Edinburg-Mission, TX",160955.31032410965,48215
78641,Leander,"Austin-Round Rock-Georgetown, TX",430333.1396679373,48491
93535,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",425959.4557239525,06037
77459,Missouri City,"Houston-The Woodlands-Sugar Land, TX",390934.5645608969,48157
10469,New York,"New York-Newark-Jersey City, NY-NJ-PA",673314.2420111318,36005
10029,New York,"New York-Newark-Jersey City, NY-NJ-PA",732560.4201356681,36061
92704,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA",864913.2511395807,06059
93274,Tulare,"Visalia, CA",347535.5692351101,06107
11218,New York,"New York-Newark-Jersey City, NY-NJ-PA",920242.6407257796,36047
75035,Frisco,"Dallas-Fort Worth-Arlington, TX",640392.5363666628,48085
11212,New York,"New York-Newark-Jersey City, NY-NJ-PA",656808.0453971353,36047
10462,New York,"New York-Newark-Jersey City, NY-NJ-PA",239699.374318582,36005
91335,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",789813.0076455771,06037
27610,Raleigh,"Raleigh-Cary, NC",313961.8569154571,37183
60634,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",352325.30289316364,17031
30349,nan,"Atlanta-Sandy Springs-Alpharetta, GA",249308.6285817247,13121
94533,Fairfield,"Vallejo, CA",528025.8035254119,06095
28027,Concord,"Charlotte-Concord-Gastonia, NC-SC",405572.687443122,37025
34787,Winter Garden,"Orlando-Kissimmee-Sanford, FL",562986.7495990318,12095
87121,Albuquerque,"Albuquerque, NM",282966.3191807118,35001
76244,Fort Worth,"Dallas-Fort Worth-Arlington, TX",375654.2902086522,48439
77083,Houston,"Houston-The Woodlands-Sugar Land, TX",259642.66675071765,48201
10002,New York,"New York-Newark-Jersey City, NY-NJ-PA",977125.4939262924,36061
23464,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",396098.7400960978,51810
76063,Mansfield,"Dallas-Fort Worth-Arlington, TX",429553.5315610172,48439
10466,New York,"New York-Newark-Jersey City, NY-NJ-PA",642652.2307774269,36005
11375,New York,"New York-Newark-Jersey City, NY-NJ-PA",511918.7947345161,36081
98052,Redmond,"Seattle-Tacoma-Bellevue, WA",1313143.6051944962,53033
34953,Port Saint Lucie,"Port St. Lucie, FL",392324.58705540065,
33024,Pembroke Pines,"Miami-Fort Lauderdale-Pompano Beach, FL",458901.3296560706,12011
33411,nan,"Miami-Fort Lauderdale-Pompano Beach, FL",458184.5993742633,12099
75002,Allen,"Dallas-Fort Worth-Arlington, TX",451913.1774388174,48085
79912,El Paso,"El Paso, TX",308160.9533118091,48141
93536,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",530419.4607370137,06037
91709,Chino Hills,"Riverside-San Bernardino-Ontario, CA",966229.737079677,06071
91910,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",806160.8560050866,06073
98012,Bothell,"Seattle-Tacoma-Bellevue, WA",974856.8069023665,53061
94513,Brentwood,"San Francisco-Oakland-Berkeley, CA",780853.4705572332,06013
78572,Mission,"McAllen-Edinburg-Mission, TX",192071.06688599495,48215
11691,New York,"New York-Newark-Jersey City, NY-NJ-PA",666216.2296392367,36081
75211,Cockrell Hill,"Dallas-Fort Worth-Arlington, TX",221855.01185569,48113
85225,Chandler,"Phoenix-Mesa-Chandler, AZ",440971.3709981371,04013
30040,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",584802.7977361205,13117
93727,Fresno,"Fresno, CA",423583.2127653749,06019
89108,Las Vegas,"Las Vegas-Henderson-Paradise, NV",353483.4095983971,32003
91706,Baldwin Park,"Los Angeles-Long Beach-Anaheim, CA",712998.2349513946,06037
90003,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",593467.2934777545,06037
22191,Woodbridge,"Washington-Arlington-Alexandria, DC-VA-MD-WV",477713.1117027653,51153
92126,San Diego,"San Diego-Chula Vista-Carlsbad, CA",980019.5182497544,06073
19120,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",168249.9036030249,42101
30041,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",626197.867108707,13117
76028,Burleson,"Dallas-Fort Worth-Arlington, TX",331988.77680844016,48251
30052,Loganville,"Atlanta-Sandy Springs-Alpharetta, GA",388017.6756052968,13297
80013,Aurora,"Denver-Aurora-Lakewood, CO",460564.3516227107,08005
11215,New York,"New York-Newark-Jersey City, NY-NJ-PA",1435330.8462494044,36047
75228,Dallas,"Dallas-Fort Worth-Arlington, TX",271671.38228242024,48113
20002,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",603401.8672168325,11001
63376,Saint Peters,"St. Louis, MO-IL",314186.42023725226,
37211,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",389741.6325990112,47037
60085,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",220299.06919867208,17097
76179,Fort Worth,"Dallas-Fort Worth-Arlington, TX",315998.54979293357,48439
77407,Richmond,"Houston-The Woodlands-Sugar Land, TX",375783.5375042443,48157
60657,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",483741.9909997177,17031
30047,Lilburn,"Atlanta-Sandy Springs-Alpharetta, GA",391252.9998030756,13135
33025,Miramar,"Miami-Fort Lauderdale-Pompano Beach, FL",389173.03164106415,12011
10463,New York,"New York-Newark-Jersey City, NY-NJ-PA",366314.01393635944,36005
33311,Fort Lauderdale,"Miami-Fort Lauderdale-Pompano Beach, FL",358459.9441698802,12011
96797,Waipahu,"Urban Honolulu, HI",850497.3986971799,15003
83646,Meridian,"Boise City, ID",517746.2804354511,16001
92553,Moreno Valley,"Riverside-San Bernardino-Ontario, CA",509722.08324372466,06065
11209,New York,"New York-Newark-Jersey City, NY-NJ-PA",800395.5750733586,36047
84043,Lehi,"Provo-Orem, UT",565033.4958395978,49049
14850,Ithaca,"Ithaca, NY",389877.21557577327,36109
93306,Bakersfield,"Bakersfield, CA",343654.4287657898,06029
80015,Centennial,"Denver-Aurora-Lakewood, CO",539840.4705959042,08005
77095,Houston,"Houston-The Woodlands-Sugar Land, TX",321334.3063525445,48201
93230,Hanford,"Hanford-Corcoran, CA",374277.07148142584,06031
30127,Powder Springs,"Atlanta-Sandy Springs-Alpharetta, GA",358916.93169206526,13067
28277,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",599572.1139585553,37119
77845,College Station,"College Station-Bryan, TX",357767.6266463348,48041
89031,North Las Vegas,"Las Vegas-Henderson-Paradise, NV",405527.17889042967,32003
20906,Silver Spring,"Washington-Arlington-Alexandria, DC-VA-MD-WV",439219.123023514,24031
46307,Crown Point,"Chicago-Naperville-Elgin, IL-IN-WI",344780.2107393809,18089
95747,Roseville,"Sacramento-Roseville-Folsom, CA",652495.0352083215,06061
94536,Fremont,"San Francisco-Oakland-Berkeley, CA",1401493.7369330116,06001
92563,Murrieta,"Riverside-San Bernardino-Ontario, CA",682586.617732489,06065
45011,Hamilton,"Cincinnati, OH-KY-IN",355829.695736753,39017
97229,Portland,"Portland-Vancouver-Hillsboro, OR-WA",726967.4318321645,41067
90255,Huntington Park,"Los Angeles-Long Beach-Anaheim, CA",662376.8054002714,06037
92105,San Diego,"San Diego-Chula Vista-Carlsbad, CA",665327.9819650612,06073
60614,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",611060.3362628605,17031
92021,El Cajon,"San Diego-Chula Vista-Carlsbad, CA",744639.6867953235,06073
91730,Rancho Cucamonga,"Riverside-San Bernardino-Ontario, CA",668616.2149266144,06071
60620,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",170214.46975793378,17031
33023,Miramar,"Miami-Fort Lauderdale-Pompano Beach, FL",445511.4121851847,12011
94110,San Francisco,"San Francisco-Oakland-Berkeley, CA",1238590.5501406628,06075
85364,Yuma,"Yuma, AZ",261057.2974332721,04027
7055,Passaic,"New York-Newark-Jersey City, NY-NJ-PA",552913.616293334,34031
77450,Katy,"Houston-The Woodlands-Sugar Land, TX",373490.979803148,48201
11213,New York,"New York-Newark-Jersey City, NY-NJ-PA",1068854.228483328,36047
47906,West Lafayette,"Lafayette-West Lafayette, IN",352889.50885607937,18157
94509,Antioch,"San Francisco-Oakland-Berkeley, CA",526539.4687314777,06013
93065,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",831371.2193052657,06111
95687,Vacaville,"Vallejo, CA",571008.2751783488,06095
11201,New York,"New York-Newark-Jersey City, NY-NJ-PA",1362611.9815986643,36047
92882,Corona,"Riverside-San Bernardino-Ontario, CA",769842.4600129569,06065
7305,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",524662.9019271011,34017
19124,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",168655.21351941745,42101
94558,Napa,"Napa, CA",885288.117888587,06055
94538,Fremont,"San Francisco-Oakland-Berkeley, CA",1296129.708688028,06001
37075,Hendersonville,"Nashville-Davidson--Murfreesboro--Franklin, TN",500416.6710783839,47165
91766,Pomona,"Los Angeles-Long Beach-Anaheim, CA",679009.2450695992,06037
92805,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",836929.1670782947,06059
78254,San Antonio,"San Antonio-New Braunfels, TX",303250.11844143044,48029
60641,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",382770.7424748344,17031
78046,Laredo,"Laredo, TX",189969.08149484204,48479
33012,Hialeah,"Miami-Fort Lauderdale-Pompano Beach, FL",379947.6613603076,12086
33015,Hialeah,"Miami-Fort Lauderdale-Pompano Beach, FL",394988.88875213754,12086
90631,La Habra,"Los Angeles-Long Beach-Anaheim, CA",913005.1966492248,06059
80134,Parker,"Denver-Aurora-Lakewood, CO",667600.3963302108,08035
33186,The Crossings,"Miami-Fort Lauderdale-Pompano Beach, FL",517437.853764432,12086
30281,Stockbridge,"Atlanta-Sandy Springs-Alpharetta, GA",287180.8596341654,13151
28078,Huntersville,"Charlotte-Concord-Gastonia, NC-SC",531046.7364703257,37119
60640,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",334684.80041399173,17031
32218,Jacksonville,"Jacksonville, FL",291394.2345159223,12031
85032,Phoenix,"Phoenix-Mesa-Chandler, AZ",444575.7564374076,04013
33647,Tampa,"Tampa-St. Petersburg-Clearwater, FL",460336.48236681806,12057
10977,Spring Valley,"New York-Newark-Jersey City, NY-NJ-PA",854933.2732382938,36087
17603,Lancaster,"Lancaster, PA",300290.54608830996,42071
11210,New York,"New York-Newark-Jersey City, NY-NJ-PA",904507.4635032124,36047
2301,Brockton,"Boston-Cambridge-Newton, MA-NH",501878.95770271943,25023
87114,Albuquerque,"Albuquerque, NM",367198.6722083224,35001
90026,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",1131249.6643398264,06037
94587,Union City,"San Francisco-Oakland-Berkeley, CA",1216949.1796746927,06001
